1,1,108
2,5,241
3,7,398
4,30,209
5,5,449
6,8,494
7,7,128
8,25,306
9,18,458
10,35,454
11,6,204
12,38,405
13,26,433
14,39,109
15,16,479
16,44,260
17,41,447
19,30,112
21,43,429
22,35,196
23,13,377
24,8,344
25,31,177
26,1,250
27,28,18
28,35,27
29,43,30
30,22,130
31,38,77
32,48,107
33,19,253
34,25,427
35,19,181
36,26,386
37,14,279
38,15,121
39,5,19
40,11,174
41,17,98
42,30,91
43,14,200
44,4,346
45,13,294
46,31,255
47,19,70
48,20,145
49,36,191
50,39,449
51,43,493
52,7,206
53,5,400
54,26,17
55,1,226
56,16,408
57,38,223
58,2,190
59,6,394
60,36,424
61,27,269
62,24,63
63,1,221
64,1,471
65,26,463
66,45,321
67,26,9
68,49,30
69,42,396
70,45,395
71,48,44
72,27,428
73,21,187
74,38,25
75,48,101
76,16,40
78,39,405
79,4,345
80,21,99
81,38,163
82,17,208
83,36,31
84,14,49
85,49,280
86,26,447
87,19,240
88,29,144
89,37,463
90,29,228
91,4,456
92,37,171
93,16,132
94,34,355
95,32,228
96,29,372
97,29,307
98,7,119
99,4,366
100,43,342
101,41,289
102,48,305
103,42,255
104,35,99
105,28,73
106,47,144
107,40,349
108,15,410
109,21,64
110,8,105
111,2,104
112,7,357
113,34,466
114,12,102
115,7,484
116,2,4
117,40,410
118,29,208
119,23,248
120,31,130
121,43,156
122,26,118
123,16,170
124,36,44
125,14,109
126,7,30
127,43,103
128,42,455
129,29,214
130,30,113
131,40,202
132,19,81
133,30,296
134,42,77
135,36,7
136,33,392
137,40,90
138,35,371
139,44,197
140,29,187
141,49,206
142,28,64
143,46,184
145,8,428
147,8,244
148,26,468
149,35,337
150,46,455
151,47,379
152,28,430
154,24,42
155,18,344
156,7,481
157,17,435
158,38,240
159,5,368
160,1,413
161,8,314
162,28,357
164,17,16
165,11,273
166,10,78
167,37,76
168,34,57
169,31,76
170,9,55
171,4,232
172,2,383
173,17,452
174,10,498
175,16,348
176,30,430
177,37,214
178,25,53
179,33,41
180,19,177
181,15,245
183,48,446
184,23,13
185,18,257
186,6,186
187,21,301
188,3,406
189,49,203
190,46,50
191,43,430
192,32,84
194,44,348
195,13,432
196,11,463
197,41,247
198,36,51
199,4,81
200,21,270
201,24,434
202,3,142
204,38,5
205,10,450
206,35,325
207,43,357
208,26,278
209,32,474
210,5,36
211,45,121
212,47,457
213,1,493
214,20,70
215,48,475
216,9,312
217,22,279
218,5,397
219,6,27
220,49,414
221,40,198
222,38,336
223,7,53
224,30,422
225,44,322
226,11,147
227,46,431
228,10,439
229,1,346
230,5,229
231,38,172
232,15,192
233,23,299
234,46,217
235,26,213
236,2,61
237,12,175
238,12,443
239,22,248
240,34,24
241,7,476
242,27,104
243,15,311
244,42,69
245,43,461
246,3,141
247,17,27
248,25,79
249,25,382
250,9,6
251,15,296
252,20,346
253,24,190
254,27,33
255,1,421
256,25,462
257,31,210
258,7,85
259,37,455
260,44,329
261,11,185
262,14,309
263,2,151
264,27,212
265,39,143
266,28,71
267,30,381
268,28,12
269,19,457
270,49,381
271,39,396
272,7,472
273,12,375
274,29,360
275,27,278
276,43,132
277,23,202
278,18,154
279,1,160
280,2,192
281,19,424
282,7,330
283,27,26
284,26,52
285,39,204
286,6,491
287,49,283
288,45,277
289,14,463
290,10,209
291,26,425
292,39,180
293,20,280
294,18,282
295,22,481
296,5,213
297,43,271
298,25,411
299,48,362
300,25,265
301,46,487
302,16,121
303,12,19
304,43,482
305,34,245
306,14,441
307,35,311
308,17,111
309,34,28
310,2,361
311,34,126
312,25,482
313,30,117
314,25,94
315,45,25
316,48,256
317,9,242
318,18,458
319,32,58
320,16,207
321,47,461
322,28,303
323,13,299
324,7,304
325,6,190
326,21,482
327,41,257
328,22,22
329,44,379
330,49,17
331,14,90
332,7,116
333,28,145
334,34,468
335,18,463
336,14,418
337,27,155
338,14,288
339,6,155
340,35,458
341,15,177
343,29,2
344,20,72
345,28,334
346,38,430
347,36,347
348,31,150
349,49,210
350,41,257
351,22,375
352,37,176
353,23,359
354,5,62
355,21,278
356,34,385
357,33,159
358,34,463
359,8,255
360,17,430
361,3,254
362,10,99
363,37,374
364,15,163
365,23,479
366,19,429
367,7,255
368,5,480
370,47,71
371,1,341
372,17,446
373,19,374
374,18,133
375,21,300
376,40,403
378,13,246
379,10,467
380,26,425
381,15,262
382,28,159
383,2,499
384,1,157
386,24,472
387,34,397
388,21,140
389,9,101
390,47,485
391,7,255
392,32,324
393,48,314
394,39,261
395,8,442
396,10,394
397,17,38
398,14,261
399,10,37
400,27,409
401,10,24
402,30,200
403,12,304
404,28,142
405,24,455
406,16,109
407,1,271
409,13,329
410,31,269
411,25,10
412,28,135
413,49,499
414,3,108
415,37,491
416,23,172
417,46,382
418,23,332
419,10,164
420,37,177
421,32,341
422,8,258
423,49,279
424,29,255
425,25,128
426,14,181
427,22,38
428,6,414
429,23,7
430,12,193
431,39,389
432,40,42
433,19,157
435,29,315
436,32,371
437,2,158
438,14,395
439,4,276
440,11,19
441,25,465
442,25,387
443,30,12
444,31,374
445,43,190
446,31,89
447,7,108
448,37,137
449,27,296
450,16,286
451,30,275
452,29,362
453,31,218
454,23,156
455,11,354
456,30,31
457,22,342
458,39,51
459,10,183
460,40,335
461,20,428
462,1,460
464,32,19
465,24,142
466,3,169
467,12,348
468,22,108
469,1,205
470,33,418
471,30,6
472,9,80
474,2,208
475,15,309
476,47,3
477,13,312
