1,753,354
2,87,437
3,923,474
4,480,374
5,48,376
6,303,267
7,754,54
8,350,169
9,16,74
10,897,156
11,69,203
12,188,309
13,714,8
14,533,127
15,605,409
16,993,172
17,706,149
18,99,475
19,983,161
20,205,362
21,192,71
22,121,81
23,291,223
24,164,92
25,801,51
26,165,147
27,126,457
28,702,160
29,941,448
30,560,462
31,329,28
32,888,474
33,401,152
34,614,382
35,947,289
36,728,359
37,381,270
38,138,119
39,250,253
40,665,310
41,507,125
42,711,280
43,628,365
44,606,294
45,539,335
46,77,491
47,446,124
48,409,235
49,877,49
50,279,294
51,50,171
52,797,151
53,939,75
54,341,44
55,93,482
56,511,457
57,625,23
58,525,393
59,775,483
60,878,89
61,101,187
62,256,461
63,546,260
64,356,341
65,240,15
66,468,257
67,931,266
68,112,49
69,272,64
70,632,57
71,928,483
72,969,332
73,610,162
74,758,352
75,847,301
76,787,376
77,869,390
78,5,365
79,344,320
80,265,414
81,34,255
82,532,337
83,441,261
84,200,10
85,589,169
86,463,111
87,318,7
88,244,292
89,509,281
90,60,15
91,455,44
92,170,474
93,339,494
94,999,263
95,98,243
96,210,471
97,732,356
98,536,246
99,195,98
100,515,163
101,135,191
102,544,230
103,335,105
104,427,485
105,761,307
106,540,121
107,84,444
108,117,106
109,775,27
110,622,139
111,348,292
112,133,143
113,997,441
114,79,343
115,530,382
116,464,399
117,364,158
118,156,275
119,579,398
120,598,329
121,672,175
122,111,275
123,778,462
124,921,79
125,527,455
126,366,416
127,492,429
128,314,330
129,358,27
130,750,267
131,696,306
132,499,403
133,831,293
134,734,259
135,520,54
136,131,281
137,39,388
138,688,93
139,802,472
140,58,67
141,804,169
142,669,159
143,862,224
144,514,13
145,841,340
146,49,44
147,467,65
148,995,10
149,855,157
150,529,222
151,456,417
152,388,153
153,497,351
154,912,403
155,881,105
156,627,326
157,738,10
158,778,236
159,148,482
160,27,247
161,398,213
162,198,140
163,49,389
164,288,105
165,286,458
166,737,213
167,749,218
168,511,362
169,817,447
170,316,102
171,942,63
172,856,210
173,743,304
174,638,485
175,51,122
176,993,365
177,370,125
178,882,109
179,162,316
180,760,114
181,337,316
182,455,255
183,30,393
184,809,3
185,321,90
186,7,196
187,88,393
188,519,299
189,773,425
190,480,133
191,521,230
192,685,222
193,653,331
194,818,318
195,186,454
196,203,273
197,884,490
198,533,222
199,722,273
200,296,189
201,77,471
202,390,495
203,833,348
204,238,420
205,924,429
206,857,281
207,714,251
208,516,45
209,175,433
210,872,445
211,484,137
212,508,117
213,859,300
214,586,249
215,194,314
216,581,417
217,258,236
218,836,141
219,728,250
220,910,13
221,659,471
222,625,70
223,563,35
224,997,295
225,926,16
226,570,459
227,453,328
228,575,492
229,862,94
230,326,352
231,718,227
232,421,308
233,390,33
234,165,35
235,801,149
